model_name	status_code	error_message
nn_rbm1bJ10	2:TypeError	model() missing 7 required keyword-only arguments: 'J', 'nu_alpha', 's2_0_alpha', 'nu_beta', 's2_0_beta', 'ones__', and 'x1'
wells_dist100_model	2:TypeError	model() missing 2 required keyword-only arguments: 'dist100' and 'x'
Mh_model	2:TypeError	model() missing 1 required keyword-only argument: 'C'
logmesquite_logvash	2:TypeError	model() missing 5 required keyword-only arguments: 'log_weight', 'log_canopy_volume', 'log_canopy_area', 'log_canopy_shape', and 'log_total_height'
radon_county_intercept	5:Success	
wells_dae_inter_model	2:TypeError	model() missing 7 required keyword-only arguments: 'c_dist100', 'c_arsenic', 'c_educ4', 'da_inter', 'de_inter', 'ae_inter', and 'x'
logearn_interaction_z	2:TypeError	model() missing 3 required keyword-only arguments: 'log_earn', 'z_height', and 'inter'
logmesquite_logva	2:TypeError	model() missing 3 required keyword-only arguments: 'log_weight', 'log_canopy_volume', and 'log_canopy_area'
normal_mixture_k	3:ProbEval	Model and guide shapes disagree at site: 'theta': (5,) vs (4,)
pilots	5:Success	
prophet	2:TypeError	model() missing 1 required keyword-only argument: 'A'
dogs_hierarchical	2:TypeError	model() missing 4 required keyword-only arguments: 'J', 'T', 'prev_shock', and 'prev_avoid'
Mt_model	2:TypeError	model() missing 2 required keyword-only arguments: 'C' and 's'
kronecker_gp	2:TypeError	model() missing 5 required keyword-only arguments: 'n2', 'x1', 'n1', 'y', and 'xd'
logearn_interaction	2:TypeError	model() missing 2 required keyword-only arguments: 'log_earn' and 'inter'
radon_partially_pooled_centered	5:Success	
hmm_drive_1	5:Success	
covid19imperial_v2	2:TypeError	model() missing 2 required keyword-only arguments: 'SI_rev' and 'f_rev'
low_dim_gauss_mix	5:Success	
gp_regr	2:NameError	name 'gp_exp_quad_cov_array_real_real' is not defined
Mb_model	2:TypeError	model() missing 2 required keyword-only arguments: 'C' and 's'
low_dim_gauss_mix_collapse	5:Success	
hmm_example	5:Success	
kidscore_interaction_c2	2:TypeError	model() missing 3 required keyword-only arguments: 'c2_mom_hs', 'c2_mom_iq', and 'inter'
logistic_regression_rhs	5:Success	
diamonds	2:TypeError	model() missing 3 required keyword-only arguments: 'Kc', 'Xc', and 'means_X'
radon_variable_intercept_slope_centered	5:Success	
wells_dist	5:Success	
kidscore_interaction	2:TypeError	model() missing 1 required keyword-only argument: 'inter'
2pl_latent_reg_irt	2:TypeError	model() missing 2 required keyword-only arguments: 'adj' and 'W_adj'
election88_full	5:Success	
radon_pooled	5:Success	
radon_county	5:Success	
sesame_one_pred_a	5:Success	
Rate_5_model	5:Success	
surgical_model	5:Success	
nes	2:TypeError	model() missing 3 required keyword-only arguments: 'age30_44', 'age45_64', and 'age65up'
dogs	5:Success	
Rate_2_model	5:Success	
logearn_height_male	2:TypeError	model() missing 1 required keyword-only argument: 'log_earn'
lsat_model	2:TypeError	model() missing 2 required keyword-only arguments: 'r' and 'ones__'
nn_rbm1bJ100	2:TypeError	model() missing 7 required keyword-only arguments: 'J', 'nu_alpha', 's2_0_alpha', 'nu_beta', 's2_0_beta', 'ones__', and 'x1'
ldaK5	3:ProbEval	Too many indices for array: 2 non-None/Ellipsis indices for dim 1.
dogs_nonhierarchical	2:TypeError	model() missing 4 required keyword-only arguments: 'J', 'T', 'prev_shock', and 'prev_avoid'
radon_variable_intercept_noncentered	5:Success	
sir	2:TypeError	model() missing 4 required keyword-only arguments: 't0', 'kappa', 'x_r', and 'x_i'
hmm_gaussian	3:ProbEval	add got incompatible shapes for broadcasting: (2,), (3,).
wells_interaction_model	2:TypeError	model() missing 3 required keyword-only arguments: 'dist100', 'inter', and 'x'
mesquite	5:Success	
radon_variable_slope_noncentered	5:Success	
garch11	5:Success	
radon_hierarchical_intercept_centered	5:Success	
kidscore_mom_work	2:TypeError	model() missing 3 required keyword-only arguments: 'work2', 'work3', and 'work4'
wells_dist100ars_model	2:TypeError	model() missing 2 required keyword-only arguments: 'dist100' and 'x'
normal_mixture	5:Success	
losscurve_sislob	5:Success	
soil_incubation	2:TypeError	model() missing 2 required keyword-only arguments: 'x_r' and 'x_i'
kidscore_momiq	5:Success	
logearn_logheight_male	2:TypeError	model() missing 2 required keyword-only arguments: 'log_earn' and 'log_height'
GLM_Binomial_model	2:TypeError	model() missing 1 required keyword-only argument: 'year_squared'
Rate_3_model	5:Success	
seeds_model	2:TypeError	model() missing 1 required keyword-only argument: 'x1x2'
Rate_4_model	5:Success	
